type,stem,options,answer,knowledge,analysis
,,"A. Salvatore must comply with the stricter Oldworld law and refuse the gifts.
B. Salvatore may accept the gifts because they are under $100 and disclosed.
C. Salvatore may accept the gifts because they are offered in Newworld.
D. Salvatore must disclose the gifts only if he accepts them.",A,,
,,"A. Jones should immediately report the issue to the regulatory authority.
B. Jones may vote to approve the statements if she documents her concerns.
C. Jones must abstain from voting and seek internal resolution only.
D. Jones must abstain from approving the statements and seek legal counsel.",D,,
,,"A. A former member may never mention the CFA charter.
B. A former member may state the charter was awarded with date, without implying current membership.
C. A former member may continue to use the CFA mark if no longer a member.
D. Only current members may mention the CFA charter in any context.",B,,
,,"A. Acts reflecting adversely on professional competence violate Standard II(B) even without conviction.
B. Only convicted acts violate Standard II(B).
C. Standard II(B) applies only to criminal activities.
D. Standard II(B) is not concerned with professional competence.",A,,
,,"A. Travelli may undertake the work because it is only part-time.
B. Travelli must obtain written consent only from her employer.
C. Travelli must obtain written consent from both her employer and the contracting party.
D. Travelli may proceed if she discloses the arrangement orally.",C,,
,,"A. Members may ignore employer policies if they believe them unnecessary.
B. Members must comply only with CFA Institute policies.
C. Members must comply with employer conflict-of-interest policies.
D. Standard III(C) does not cover vendor relationships.",C,,
,,"A. Only performance-based client gifts must be disclosed.
B. All additional client compensation must be disclosed in writing.
C. Disclosure is optional if the gift is small.
D. Oral disclosure is sufficient for non-performance gifts.",B,,
,,"A. The member may accept supervisory role and fix the system later.
B. The member must decline in writing to accept supervisory responsibility.
C. The member may accept the role if the system is only slightly inadequate.
D. Standard III(E) does not apply to compliance systems.",C,,
,,"A. A statistical rating alone is always adequate basis.
B. Overweighting a portfolio sector without justification violates Standard IV(A1).
C. Diversification is not required under Standard IV(A1).
D. Rating services are not considered reasonable basis.",B,,
,,"A. Corporate travel paid by issuer is permissible if objectivity is maintained.
B. Analysts must never accept travel paid by issuers.
C. Use of corporate aircraft is always prohibited.
D. Objectivity cannot be maintained on issuer-paid trips.",A,,
,,"A. Plan managers owe fiduciary duty to plan participants and must diversify.
B. Plan managers owe duty to company management.
C. Diversification is optional for retirement plans.
D. Company stock must never be held in retirement plans.",A,,
,,"A. Changes must be disclosed in writing and in advance.
B. Prompt disclosure of material process changes is required.
C. Disclosure is only required if clients request it.
D. Standard IV(B2) does not apply to process changes.",B,,
,,"A. Personal trades may precede client trades if disclosed.
B. Client transactions must have priority over personal trades.
C. Family accounts are exempt from priority rules.
D. Standard IV(B4) applies only to institutional clients.",B,,
,,"A. Misrepresentations violate Standard IV(B6) even if not deliberate.
B. Only intentional misstatements violate Standard IV(B6).
C. Correcting misstatements is optional under Standard IV(B6).
D. Oral statements are exempt from Standard IV(B6).",A,,
,,"A. Trading is prohibited whenever nonpublic information is used.
B. Mosaic theory allows trading on combined non-material nonpublic information.
C. Any nonpublic information usage violates Standard V(A).
D. Pierce must not trade until the information is public.",C,,
,,"A. Tender offer information may be used if not misappropriated.
B. Any material nonpublic information about a tender offer prohibits trading.
C. Only misappropriated tender offer information is restricted.
D. Standard V(A) does not cover tender offers.",B,,
,,"A. True
B. False",D,,
,,"A. True
B. False",D,,
,,"A. True
B. False",B,,
,,"A. True
B. False",B,,
,,"A. True
B. False",A,,
,,"A. True
B. False",C,,
,,"A. True
B. False",C,,
,,"A. True
B. False",D,,
,,"A. True
B. False",D,,
,,"A. True
B. False",A,,
,,"A. The probability of any event must be strictly between 0 and 1.
B. Mutually exclusive events must have equal probabilities.
C. Events can be mutually exclusive and exhaustive even if the underlying device is unfair.
D. Exhaustive events cannot overlap.",C,,
,,"A. 0.00046
B. 0.00064
C. 0.00122
D. 0.00218",C,,
,,"A. Permutation and combination are interchangeable terms.
B. Combination considers order; permutation does not.
C. Combination ignores order; permutation considers order.
D. Both formulas apply to any number of groups.",C,,
,,"A. 136.6 to 163.4 inches
B. 130 to 170 inches
C. 140 to 160 inches
D. 135 to 165 inches",A,,
,,"A. Look-ahead bias
B. Survivorship bias
C. Data mining
D. Time-period bias",C,,
,,"A. The standard error of the sample mean is $\sigma / \sqrt{n}$.
B. The probability that a parameter lies within a range is $1 - \sigma$.
C. The standard deviation of the sample means distribution is called the standard error.
D. Residuals are used in descriptive statistics.",C,,
,,"A. Policy changes affect both output and employment
B. Policy changes affect only prices
C. Policy changes affect only output
D. Policy changes affect only employment",D,,
