question,answer
"2) A Rolling Stones song goes: ""You can't always get what you want."" This echoes an important theme from microeconomics. Which of the following statements is the best example of this theme?",A
3) Economics is about the allocation of scarce resources. Which of the following is NOT an example of economic scarcity?,C
4) A valid and useful theory of gold prices:,D
5) Use the following two statements to answer this question: I. Economic theories are developed to explain observed phenomena by deducing from a set of basic rules and assumptions. II. Economic theories use value judgments to determine which people ought to pay more taxes.,B
6) Which of the following is a positive statement?,B
9) Which of the following is a positive statement?,D
"11) Use the following two statements to answer this question: I. In order to answer normative questions, it is necessary to make value judgments. II. In order to conduct positive economic analysis, it is always necessary to use empirical evidence in addition to economic theories.",B
"12) ________ questions have to do with explanation and prediction, ________ questions have to do with what ought to be.",D
13) The key assumption underlying the theory of the firm is that:,C
14) Which of the following statements is NOT true?,B
15) Please use the following statements to answer this question: I. The process of testing and revising theories is central to the development of economics as a science. II. Theory is imperfect and may not adequately describe economic behavior in some cases.,A
16) The trade-offs facing consumers include:,C
"18) Firms face trade-offs in production, including decisions related to:",D
"19) During the presidential campaigns, the candidates from each party typically describe their plans to maintain or change federal taxes on personal and business income. Are these policy statements generally positive or normative?",B
20) Which of the following economic values is NOT an example of a price?,D
21) Which of the following statements is NOT true?,A
1) Which of the following markets has the most restrictive geographic boundary?,B
"2) An investor can acquire shares of stock in Acme Corporation either by purchasing shares on the stock market or by purchasing a bond that is convertible into shares of Acme stock. After careful study, the investor discovers that she can profit by purchasing the bond, converting it to shares of stock, and selling the stock. This practice is called:",B
"3) Use the following two statements to answer this question: I. A market is a collection of buyers and sellers that, through actual or potential interactions, determine the price for a product or set of products. II. An industry is a collection of markets for similar or closely related products.",B
4) In a perfectly competitive market:,D
5) Boeing Corporation and Airbus Industries are the only two producers of long-range commercial aircraft. This market is not perfectly competitive because:,B
"7) Although the U. S. airline industry has only a relatively small number of sellers, the market is nevertheless highly competitive. The reason is that:",B
"8) Washington D.C.'s metro train system is being extended further into the neighboring states of Maryland and Virginia, thereby reducing the cost of commuting into the United States' capitol. Other things being held constant, this can be expected to:",B
9) Why is market definition important for economic decision making?,D
11) Which of the following statements about markets and industries is TRUE?,D
"12) Although there are many reasons why a market can be non-competitive, the principal economic difference between a competitive and a non-competitive market is:",B
13) Which of the following could not possibly be included in the same market as Coke?,D
