question,options,answer,knowledge_points
1) Microeconomics is the branch of economics that deals with which of the following topics?,The behavior of individual consumers|Unemployment and interest rates|The behavior of individual firms and investors|B and C E) A and C Diff: 1 Section: 1.1,,
"2) A Rolling Stones song goes: ""You can't always get what you want."" This echoes an important theme from microeconomics. Which of the following statements is the best example of this theme?","Consumers must make the best purchasing decisions they can, given their limited incomes.|Workers do not have as much leisure as they would like, given their wages and working conditions.|Workers in planned economies, such as North Korea, do not have much choice over jobs.|Firms in market economies have limited financial resources. Diff: 1 Section: 1.1",A,
3) Economics is about the allocation of scarce resources. Which of the following is NOT an example of economic scarcity?,"If Steve goes to see a movie on Saturday, he will not be able to afford buying ice cream.|If Jenny studies for her economics quiz this evening, she will not have time to walk her dog.|If General Motors increases its production of SUVs this year, it will have to spend more on advertising.|If Barnes and Noble bookstore increases the number of titles it carries, it will have to reallocate shelf space to accommodate the new titles. Diff: 2 Section: 1.1",C,
4) A valid and useful theory of gold prices:,helps to predict the movements of gold prices over time.|may be founded on simplifying assumptions.|need not exactly predict every change in gold prices.|all of the above E) none of the above Diff: 1 Section: 1.1,D,
5) Use the following two statements to answer this question: I. Economic theories are developed to explain observed phenomena by deducing from a set of basic rules and assumptions. II. Economic theories use value judgments to determine which people ought to pay more taxes.,"Both I and II are true.|I is true, and II is false.|I is false, and II is true.|Both I and II are false. Diff: 1 Section: 1.1",B,
6) Which of the following is a positive statement?,"The President of the United States ought to be elected by a direct vote of the American people rather than the Electoral College.|A fundamental assumption of the economic theory of consumer behavior is that consumers always prefer having more of any good to having less of it.|Because many adults cannot afford to go to college, tax credits for tuition should be introduced.|all of the above E) none of the above Diff: 1 Section: 1.1",B,
7) Which of the following is a normative statement?,"The taxes paid by the poor should be reduced in order to improve the income distribution in the U.S.|State governments should not subsidize corporations by training welfare recipients.|Presidential candidates should not be given funds from the federal government to run campaigns.|The sea otter should not be allowed to spread into Southern California coastal waters, because it will reduce the value of fisheries. E) all of the above Diff: 1 Section: 1.1",,
8) Which of the following is a positive statement?,Intermediate microeconomics should be required of all economics majors in order to build a solid foundation in economic theory.|The minimum wage should not be increased because this action would increase unemployment.|Smoking should be restricted on all airline flights.|All automobile passengers should be required to wear seatbelts in order to protect them against injury. E) none of the above Diff: 1 Section: 1.1,,
9) Which of the following is a positive statement?,"When the price of a good goes up, consumers buy less of it.|When the price of a good goes up, firms produce more of it.|When the Federal government sells bonds, interest rates rise and private business investment is reduced.|all of the above E) none of the above Diff: 1 Section: 1.1",D,
10) Which of the following statements is false? An economic analysis of carbon taxes can:,calculate the increase in costs faced by coal-using industries.|predict the effect on unemployment in West Virginia coal mining communities.|compare the likely reductions in medical expenditures on diseases caused by smog.|present a trade-off of the costs and benefits of different levels of carbon taxes. E) conclude that such taxes should be imposed to benefit future generations. Diff: 1 Section: 1.1,,
"11) Use the following two statements to answer this question: I. In order to answer normative questions, it is necessary to make value judgments. II. In order to conduct positive economic analysis, it is always necessary to use empirical evidence in addition to economic theories.","I and II are incorrect.|I is correct, II is incorrect.|I is incorrect, II is correct.|Both I and II are correct. Diff: 1 Section: 1.1",B,
"12) ________ questions have to do with explanation and prediction, ________ questions have to do with what ought to be.",Positive; negative.|Negative; normative.|Affirmative; positive.|Positive; normative. E) Econometric; theoretical. Diff: 1 Section: 1.1,D,
13) The key assumption underlying the theory of the firm is that:,firms are assumed to maximize sales revenue.|managers are assumed to maximize the number of employees in their department.|firms are assumed to maximize profits.|none of the above Diff: 1 Section: 1.1,C,
14) Which of the following statements is NOT true?,The trade-offs facing consumers and producers are based on prices.|All prices are determined by market interactions between buyers and sellers.|Prices serve an important role in microeconomics.|Only A and B above false. E) Only B and C above are false. Diff: 1 Section: 1.1,B,
15) Please use the following statements to answer this question: I. The process of testing and revising theories is central to the development of economics as a science. II. Theory is imperfect and may not adequately describe economic behavior in some cases.,I and II are true.|I is true and II is false.|I is false and II is true.|I and II are false. Diff: 1 Section: 1.1,A,
16) The trade-offs facing consumers include:,how to allocate income across goods and serves.|how to allocate income between consumption and savings.|both A and B|none of the above Diff: 1 Section: 1.1,C,
17) The trade-offs facing workers include all of the following EXCEPT:,decision to work or remain outside the workforce.|decision to work or seek additional education.|decision to work for a large corporation or a small firm.|decision to allocate their time between work and leisure. E) All of the above are trade-offs facing workers. Diff: 1 Section: 1.1,,
"18) Firms face trade-offs in production, including decisions related to:",which products to produce.|how much of a particular product to produce.|the best way to produce a given amount of output.|all of the above Diff: 2 Section: 1.1,D,
"19) During the presidential campaigns, the candidates from each party typically describe their plans to maintain or change federal taxes on personal and business income. Are these policy statements generally positive or normative?",Positive|Normative|Both positive and normative|Neither positive or normative Diff: 2 Section: 1.1,B,
20) Which of the following economic values is NOT an example of a price?,Wage earned per hour|Annual interest rate paid for borrowed money|College tuition per semester|all are examples of prices Diff: 2 Section: 1.1,D,
21) Which of the following statements is NOT true?,"If an economic theory is proven to be untrue, then it must be discarded.|If an economic theory is proven to be untrue, then it may be modified or discarded.|Economic theories provide the basis for making predictions.|Economic models are specific representations of economic theories. Diff: 2 Section: 1.1",A,
1) Which of the following markets has the most restrictive geographic boundary?,The market for retail gasoline|The market for housing|The market for gold|The market for beef Diff: 1 Section: 1.2,B,
"2) An investor can acquire shares of stock in Acme Corporation either by purchasing shares on the stock market or by purchasing a bond that is convertible into shares of Acme stock. After careful study, the investor discovers that she can profit by purchasing the bond, converting it to shares of stock, and selling the stock. This practice is called:",selling short.|arbitrage.|profiteering.|dumping. E) none of the above Diff: 1 Section: 1.2,B,
"3) Use the following two statements to answer this question: I. A market is a collection of buyers and sellers that, through actual or potential interactions, determine the price for a product or set of products. II. An industry is a collection of markets for similar or closely related products.","Both I and II are true.|I is true, and II is false.|I is false, and II is true.|Both I and II are false. Diff: 1 Section: 1.2",B,
4) In a perfectly competitive market:,there are a few buyers.|there is a single seller.|there is a cartel.|no single buyer or seller can significantly affect the market price. Diff: 1 Section: 1.2,D,
5) Boeing Corporation and Airbus Industries are the only two producers of long-range commercial aircraft. This market is not perfectly competitive because:,each company has annual sales over $10 billion.|each company can significantly affect prices.|Airbus receives subsidies from the European Union.|Airbus cannot sell aircraft to the United States government. E) all of the above Diff: 1 Section: 1.2,B,
6) Which of the following are examples of perfectly competitive markets?,Wheat|Textiles|Gold|The stock market E) all of the above Diff: 1 Section: 1.2,,
"7) Although the U. S. airline industry has only a relatively small number of sellers, the market is nevertheless highly competitive. The reason is that:","the number of buyers is very large.|due to fierce competition, no firm has significant control over prices.|due to fierce competition, no firm has significant control over the quantity supplied.|most airline routes are served by relatively many sellers. Diff: 2 Section: 1.2",B,
"8) Washington D.C.'s metro train system is being extended further into the neighboring states of Maryland and Virginia, thereby reducing the cost of commuting into the United States' capitol. Other things being held constant, this can be expected to:",decrease the extent of the market for housing around Washington D.C.|increase the extent of the market for housing around Washington D.C.|have no effect on the extent of the market for housing around Washington D.C. as the actual geography remains unchanged.|have no effect on the extent of the market for housing around Washington D.C. as the range of houses available has not changed. E) have no effect on the extent of the market for housing around Washington D.C. as property taxes have not changed. Diff: 2 Section: 1.2,B,
9) Why is market definition important for economic decision making?,A firm is interested in knowing its actual and potential competitors.|A firm will define its market in order to maximize revenue.|Government regulators are interested in knowing the effect of mergers and acquisitions on competition and prices in a particular market.|both A and C E) both A and B Diff: 1 Section: 1.2,D,
